Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
639b3c517760a989d85912ec,5d42486206811e001ada5b4b,APPROVED,2022-12-15T15:25:30.284000Z,2022-12-15T15:28:29.514000Z,2022-12-15T15:58:41.416000,2022-12-15T15:28:29.939671Z,180,C177C1KX,4948,English,46,Male,White,United States,United States,United States,English,No,Full-Time
639b3c5192392cd32428b29c,5c7eb988ac63960015004d03,APPROVED,2022-12-15T15:25:10.398000Z,2022-12-15T15:33:57.260000Z,2022-12-15T15:58:41.529000,2022-12-15T15:33:57.779075Z,527,C177C1KX,1175,English,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639b3c522703f64a00cb9328,566d5997d408ea00051a2a86,APPROVED,2022-12-15T15:28:15.178000Z,2022-12-15T15:30:27.741000Z,2022-12-15T15:58:41.647000,2022-12-15T15:30:28.100945Z,133,C177C1KX,2082,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639b3c54bd0d5f9df4d91d2f,60158d493186b267143d26c0,APPROVED,2022-12-15T15:25:10.231000Z,2022-12-15T15:28:42.329000Z,2022-12-15T15:58:41.772000,2022-12-15T15:28:42.747536Z,213,C177C1KX,36,English,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639b3c54ec462c6ffb714096,5d1a69d8f97a18001977e0d7,APPROVED,2022-12-15T15:29:13.576000Z,2022-12-15T15:34:49.204000Z,2022-12-15T15:58:41.893000,2022-12-15T15:34:50.594549Z,336,C177C1KX,2322,English,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639b3c556233acf80310ee58,5dd9f0e719eecb97dfab7b48,APPROVED,2022-12-15T15:25:37.650000Z,2022-12-15T15:28:38.248000Z,2022-12-15T15:58:42.012000,2022-12-15T15:28:38.647565Z,181,C177C1KX,4151,English,47,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639b3c55c0243b06b7714089,62877d5f6a054e53313ac916,APPROVED,2022-12-15T15:25:11.136000Z,2022-12-15T15:50:27.243000Z,2022-12-15T15:58:42.135000,2022-12-15T15:50:27.659578Z,1517,C177C1KX,512,English,26,Male,White,United States,United States,United States,English,No,Full-Time
639b3c55e6ba5548151b58ee,6321decd01d759ccbe3a26b3,APPROVED,2022-12-15T15:25:22.123000Z,2022-12-15T15:31:16.466000Z,2022-12-15T15:58:42.251000,2022-12-15T15:31:16.993472Z,355,C177C1KX,213,English,44,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639b3c55fdcf7e035fff41a9,5b14532ce9270900013c5bf6,APPROVED,2022-12-15T15:25:14.377000Z,2022-12-15T15:29:55.774000Z,2022-12-15T15:58:42.364000,2022-12-15T15:29:56.191996Z,282,C177C1KX,1625,English,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
639b3c566233acf80310ee5a,595d3824fe4a4700017a0777,APPROVED,2022-12-15T15:25:10.681000Z,2022-12-15T15:26:55.508000Z,2022-12-15T15:58:42.471000,2022-12-15T15:26:55.861205Z,105,C177C1KX,296,English,24,Male,White,Canada,Canada,Canada,English,No,Unemployed (and job seeking)
639b3c56a0f99e0d3770f11f,60da18dba560960ea60a8fe5,APPROVED,2022-12-15T15:25:28.696000Z,2022-12-15T15:27:48.565000Z,2022-12-15T15:58:42.586000,2022-12-15T15:27:49.070261Z,140,C177C1KX,3603,English,32,Male,White,United States,United States,United States,English,No,Full-Time
639b3c570077c9cb8202f84b,603e370c5ed1c2db2c3bde24,APPROVED,2022-12-15T15:25:12.982000Z,2022-12-15T15:27:57.170000Z,2022-12-15T15:58:42.698000,2022-12-15T15:27:57.618949Z,165,C177C1KX,2975,English,36,Male,White,United States,United States,United States,English,Yes,Full-Time
639b3c577f1bdfd8089b038d,5f5aaa058c844c1af8528015,APPROVED,2022-12-15T15:25:26.636000Z,2022-12-15T15:31:00.175000Z,2022-12-15T15:58:42.809000,2022-12-15T15:31:00.817122Z,334,C177C1KX,814,English,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639b3c578a0ed093dd77a675,6162cc4598fecddd2fcd70e9,APPROVED,2022-12-15T15:25:13.985000Z,2022-12-15T15:26:41.291000Z,2022-12-15T15:58:42.926000,2022-12-15T15:26:41.706175Z,88,C177C1KX,314,English,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639b3c58089b6eeda0e938aa,57732cfcda75d30001487571,APPROVED,2022-12-15T15:25:16.002000Z,2022-12-15T15:27:36.877000Z,2022-12-15T15:58:43.039000,2022-12-15T15:27:37.349643Z,141,C177C1KX,1106,English,28,Male,DATA_EXPIRED,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
639b3c5820521f2efc3c0685,62ab2034b58fe149d144acf4,APPROVED,2022-12-15T15:25:17.213000Z,2022-12-15T15:27:16.885000Z,2022-12-15T15:58:43.165000,2022-12-15T15:27:17.322502Z,120,C177C1KX,260,English,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639b3c58f84511c8a970f14d,5e2f1e401a4075000d1bee59,APPROVED,2022-12-15T15:25:12.764000Z,2022-12-15T15:27:02.404000Z,2022-12-15T15:58:43.278000,2022-12-15T15:27:02.769758Z,110,C177C1KX,765,English,23,Male,Asian,Canada,Canada,Canada,English,No,Full-Time
639b3c596b149be952128319,6310c063bd0cce86b0289d20,APPROVED,2022-12-15T15:25:15.220000Z,2022-12-15T15:28:25.201000Z,2022-12-15T15:58:43.395000,2022-12-15T15:28:25.540784Z,190,C177C1KX,289,English,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639b3c59d0e2ea64e26b876f,6365862b94f7a68a41f98574,APPROVED,2022-12-15T15:25:13.056000Z,2022-12-15T15:26:30.094000Z,2022-12-15T15:58:43.513000,2022-12-15T15:26:30.471741Z,78,C177C1KX,104,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
639b3c59e953e332a1e938a4,57dd3b0e91b7fc0001493db9,APPROVED,2022-12-15T15:26:57.910000Z,2022-12-15T15:35:46.613000Z,2022-12-15T15:58:43.624000,2022-12-15T15:35:47.055613Z,529,C177C1KX,1099,English,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
639b3deab3b00639ff1282cc,62b8cd151b5fd0f9be7d1f11,APPROVED,2022-12-15T15:32:00.114000Z,2022-12-15T15:36:31.668000Z,2022-12-15T15:58:43.744000,2022-12-15T15:36:32.295201Z,272,C177C1KX,453,English,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
639b3e221a86722c0477a681,60bff527b7c6aaa6d3508e07,APPROVED,2022-12-15T15:33:51.335000Z,2022-12-15T15:48:07.653000Z,2022-12-15T15:58:46.438000,2022-12-15T15:48:08.273734Z,857,C177C1KX,95,English,37,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
639b3e28861ba51969af1bb4,5e0fd3bce632e16d3d47a28d,APPROVED,2022-12-15T15:33:00.254000Z,2022-12-15T15:36:03.254000Z,2022-12-15T15:58:46.556000,2022-12-15T15:36:03.815651Z,183,C177C1KX,112,English,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
639b3e2e39a3a1e1437eab9c,587958ee2bd3c9000185a34c,APPROVED,2022-12-15T15:33:04.485000Z,2022-12-15T15:34:50.637000Z,2022-12-15T15:58:46.677000,2022-12-15T15:34:51.830942Z,107,C177C1KX,1060,English,28,Female,Mixed,Japan,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
639b3e9f8ecb1f5fd11b58f0,5e3171784dd79614cb8a9678,APPROVED,2022-12-15T15:35:02.370000Z,2022-12-15T15:38:11.989000Z,2022-12-15T15:58:46.795000,2022-12-15T15:38:12.402921Z,190,C177C1KX,340,"English, French",24,Female,White,France,France,United Kingdom,English,No,Part-Time
639b3ebe43264d6ab6daad71,5c4ded8b818d4d00013e69c9,APPROVED,2022-12-15T15:35:26.736000Z,2022-12-15T15:40:51.807000Z,2022-12-15T15:58:46.914000,2022-12-15T15:40:52.260392Z,326,C177C1KX,155,English,72,Female,White,Ireland,Ireland,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639b3ed35f70bb07adab3581,62c2d19221c0d60ea4c3bddd,APPROVED,2022-12-15T15:35:53.406000Z,2022-12-15T15:43:43.115000Z,2022-12-15T15:58:47.048000,2022-12-15T15:43:44.405573Z,470,C177C1KX,162,English,79,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
