Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
615643e08c21b7a806bd7e73,5ca7ca2ea5568f0015f74ecc,APPROVED,2021-09-30T23:10:26.451000Z,2021-09-30T23:26:06.241000Z,2021-10-01T17:06:34.268000Z,,940,NOCODE,189,"English, Portuguese",23,Male,White,Portugal,Portugal,Portugal,Portuguese,No,DATA_EXPIRED
6156442c0f0cb9906df368cb,615629856035c115f0474156,APPROVED,2021-09-30T23:11:42.260000Z,2021-09-30T23:27:50.561000Z,2021-10-01T16:58:44.352000Z,,969,8159,74,English,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6156445665e9aecd3f034a9d,6154b3a7e4bc93e1ce93c6bc,APPROVED,2021-09-30T23:12:46.455000Z,2021-09-30T23:41:47.786000Z,2021-10-01T16:59:41.101000Z,,1742,875B6695,205,"English, Spanish",20,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
615644979ff85feceb1150e6,615494de474593dbd1e1f370,APPROVED,2021-09-30T23:13:37.247000Z,2021-09-30T23:37:25.540000Z,2021-10-01T16:59:42.975000Z,,1429,875B6695,20,"Spanish, English",22,Female,Other,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
61564521b17e1de766eba8b1,615281558905c5e6282539b7,APPROVED,2021-09-30T23:16:06.177000Z,2021-09-30T23:39:08.878000Z,2021-10-01T17:01:13.619000Z,,1383,875B6695,33,"Spanish, English",26,Female,Other,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
6156453845d154e4e42cb2cd,614f5fdc92cf035aad2ba1b2,APPROVED,2021-09-30T23:16:16.360000Z,2021-09-30T23:41:50.093000Z,2021-10-01T17:04:39.552000Z,,1534,875B6695,54,"Spanish, English",23,Female,White,Mexico,Mexico,Mexico,Spanish,No,Part-Time
615646a61acf44712a7d440d,6154da8cefc9f162773e69c5,APPROVED,2021-09-30T23:22:23.163000Z,2021-09-30T23:43:08.365000Z,2021-10-01T16:59:38.211000Z,,1246,NOCODE,72,English,25,Male,White,Hungary,Hungary,Hungary,Hungarian,No,Unemployed (and job seeking)
615648ed47bcf2162446d853,615313709266fea7e6660549,APPROVED,2021-09-30T23:31:57.439000Z,2021-10-01T00:00:30.448000Z,2021-10-01T17:00:58.173000Z,,1714,NOCODE,161,"English, German, Macedonian",38,Male,White,Macedonia,Germany,Germany,Macedonian,DATA_EXPIRED,DATA_EXPIRED
61564cbbfa651ea286b97ac0,613be8c539a05b59e17d863f,APPROVED,2021-09-30T23:53:06.752000Z,2021-10-01T00:09:00.563000Z,2021-10-01T17:05:54.250000Z,,954,875B6695,51,"English, Spanish",24,Female,White,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time
61565691350fb50991547557,5c0e94f62932300001e2e0d3,APPROVED,2021-10-01T00:30:09.807000Z,2021-10-01T00:46:18.326000Z,2021-10-01T17:06:36.354000Z,,969,875B6695,325,"Polish, English",22,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
61574043f037125f44904f56,5f4e76eff69af505fa21da55,APPROVED,2021-10-01T17:07:15.577000Z,2021-10-01T19:07:42.543000Z,2021-10-01T19:07:42.607000Z,,7227,Manual Completion,405,"Polish, English",25,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
615753ad5f3460a7aab5c686,610ea5f9fb2602b27fd2581a,APPROVED,2021-10-01T18:30:31.003000Z,2021-10-01T19:07:37.906000Z,2021-10-01T19:07:37.992000Z,,2227,Manual Completion,52,"English, Portuguese",28,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
