session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61b7b417869e49d2d74fbd94,57e17bdc1334540001170aa0,APPROVED,2021-12-13 20:59:08.412000,2021-12-13 21:08:06.534000,538.122,29,625,2,100,2021-12-13 21:12:11.385000,94C0A878,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
61b7b41fc19b3da08b0b554d,60bb88ba02a29f04080eb106,RETURNED,2021-12-13 20:59:17.403000,,5993.164926,30,39,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61b7b42082493ea6393b7068,5fe874078ac1826e00c70e6a,APPROVED,2021-12-13 20:59:15.190000,2021-12-13 21:01:14.897000,119.707,34,98,2,98,2021-12-13 21:12:11.312000,94C0A878,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
61b7b42329786dd5670e4a14,5cdbd587763dd00019702450,APPROVED,2021-12-13 20:59:17.068000,2021-12-13 21:03:20.603000,243.535,36,431,3,100,2021-12-13 21:12:11.231000,94C0A878,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
61b7b42d0767f9d4a94491dd,60ce49df1fc9e7d48f153c88,APPROVED,2021-12-13 20:59:41.759000,2021-12-13 21:02:35.962000,174.203,33,97,1,100,2021-12-13 21:12:10.919000,94C0A878,New Zealand,New Zealand,Full-Time,English,New Zealand,Female,No
61b7b42e39c807c4299fac19,5f2d2e2dd8690b020bd50292,APPROVED,2021-12-13 20:59:33.056000,2021-12-13 21:02:08.366000,155.31,30,46,0,100,2021-12-13 21:12:11.157000,94C0A878,Canada,Canada,Full-Time,English,Canada,Male,No
61b7b43434f74a868ed4187a,5f392fae9168cc472f0468f6,APPROVED,2021-12-13 20:59:39.505000,2021-12-13 21:03:34.463000,234.958,74,160,0,100,2021-12-13 21:12:11.006000,94C0A878,Ireland,Ireland,DATA EXPIRED,English,Ireland,Male,DATA EXPIRED
61b7b44c869e49d2d74fbd9b,5ca9e89dcb4af3001440da22,APPROVED,2021-12-13 20:59:58,2021-12-13 21:01:34.399000,96.399,37,997,12,96,2021-12-13 21:12:10.775000,94C0A878,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
61b7b4570a3eb732db491106,5f0788c06b220f03231666a0,RETURNED,2021-12-13 21:11:01.650000,,5289.051648,61,281,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61b7b458b0d0825f0ca96215,60f020bdc86fdfb6ac029e7e,APPROVED,2021-12-13 21:00:11.190000,2021-12-13 21:05:43.624000,332.434,22,50,1,100,2021-12-13 21:12:10.696000,94C0A878,India,United Kingdom,Unemployed (and job seeking),English,India,Male,Yes
61b7b45a29786dd5670e4a1c,60d994548389f79123c08453,RETURNED,2021-12-13 21:00:12.798000,,5937.936207,19,90,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
