session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
61b7cd8b8e00f4c0a8eac7b1,5fea2be30ad48ba0139da11c,TIMED-OUT,2021-12-13 22:47:41.821000,,58512.016973,35,116,3,97,,,Ireland,Ireland,Full-Time,English,Ireland,Female,No
61b7cda4fba6e081da8d53e7,5f10da001b822c2988fbdb89,APPROVED,2021-12-13 22:48:05.400000,2021-12-13 22:50:59.877000,174.477,34,421,8,98,2021-12-13 22:53:45.859000,94C0A878,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61b7cdb057ad365a253b339d,607c9413c9449d48ec100264,APPROVED,2021-12-13 22:48:23.608000,2021-12-13 22:53:05.403000,281.795,30,84,1,100,2021-12-13 22:53:45.791000,94C0A878,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61b7cdba155b6bcbbdbb8bbd,5eefeb8dbfeeec0ff35fa069,APPROVED,2021-12-13 22:48:28.432000,2021-12-13 22:50:26.879000,118.447,31,108,0,100,2021-12-13 22:53:45.710000,94C0A878,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61b7cdbc4604eca240713824,5ca29ee193d3840001f6499a,APPROVED,2021-12-13 22:48:34.033000,2021-12-13 23:01:07.970000,753.937,36,388,0,100,2021-12-13 23:01:39.068000,94C0A878,Ireland,Ireland,DATA EXPIRED,English,Ireland,Male,DATA EXPIRED
61b7cdbcbf17c4bfe855b404,611ec117c0e26bf092778d95,APPROVED,2021-12-13 22:48:31.306000,2021-12-13 22:54:33.349000,362.043,42,105,1,100,2021-12-13 22:54:53.278000,94C0A878,Zimbabwe,United Kingdom,Full-Time,English,United Kingdom,Male,No
61b7cde4c234805021bb80d6,6102ece37ca2ba866c2bacdb,APPROVED,2021-12-13 22:49:11.528000,2021-12-13 22:52:24.341000,192.813,22,95,2,99,2021-12-13 22:53:45.623000,94C0A878,Singapore,Canada,Other,English,Singapore,Male,Yes
61b7cde636e98d5dfe0624a3,608eca7ccddd6b465ae4805b,APPROVED,2021-12-13 22:49:12.994000,2021-12-13 22:51:05.838000,112.844,20,207,0,100,2021-12-13 22:53:45.553000,94C0A878,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
61b7cdf557ca7eff94c6fd66,5aff2de2a415960001f26f36,APPROVED,2021-12-13 22:49:28.687000,2021-12-13 22:53:47.839000,259.152,34,516,6,99,2021-12-13 22:53:57.760000,94C0A878,Ireland,Ireland,DATA EXPIRED,English,Ireland,Male,DATA EXPIRED
61b7ce2eb93935fc98bf3c08,5c5a00f19dd64d00018adbbf,APPROVED,2021-12-13 22:50:23.948000,2021-12-13 22:52:33.320000,129.372,24,317,0,100,2021-12-13 22:53:45.482000,94C0A878,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,Yes
61b7ce342e0f8e5b8e8deab1,600a068fd2d91d1165dfa63f,APPROVED,2021-12-13 22:50:32.052000,2021-12-13 22:52:24.722000,112.67,19,106,0,100,2021-12-13 22:53:45.396000,94C0A878,United Kingdom,United Kingdom,Other,English,United Kingdom,Male,Yes
61b7ce3d202295c8df2828b6,61037333eaacd23a3460ffc2,APPROVED,2021-12-13 22:52:09.798000,2021-12-13 23:01:34.235000,564.437,41,134,0,100,2021-12-13 23:01:43.107000,94C0A878,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Male,No
61b7ce57adf672493446b21b,5d2ea01011969300154a9128,APPROVED,2021-12-13 22:51:03.607000,2021-12-13 22:52:31.011000,87.404,21,246,1,100,2021-12-13 23:01:38.986000,94C0A878,Australia,Australia,Part-Time,English,Australia,Male,Yes
61b7ce6adc005b8c7b6abf4f,57507e67fcaa630007cb9ad2,RETURNED,2021-12-13 22:51:22.371000,,58291.833115,25,98,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61b7ce7081314c46f5dd05ac,60cfd76e520be4dc4df2fe9c,APPROVED,2021-12-13 22:51:32.273000,2021-12-13 22:53:54.665000,142.392,29,63,1,100,2021-12-13 22:54:01.536000,94C0A878,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,No
61b7ce7ca19791a155504953,6152495859853a1fdf5344dd,APPROVED,2021-12-13 22:51:40.654000,2021-12-13 22:53:41.265000,120.611,22,74,0,100,2021-12-13 23:01:38.909000,94C0A878,Taiwan,Canada,Unemployed (and job seeking),English,Taiwan,Male,No
61b7ce7fd292b302f4693569,562bc30a733ea00011162c34,APPROVED,2021-12-13 22:51:48.012000,2021-12-13 22:55:17.220000,209.208,29,734,4,100,2021-12-13 22:55:30.390000,94C0A878,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
61b7cf48f05f36152dca5ecd,612ae81934e6721f65cff6bf,APPROVED,2021-12-13 22:55:07.991000,2021-12-13 22:57:05.067000,117.076,30,38,0,100,2021-12-13 23:01:38.819000,94C0A878,Canada,Canada,Full-Time,English,Canada,Male,Yes
61b7d40754d39140f25bd309,60fd4227a0da73a530f9c5a7,APPROVED,2021-12-13 23:15:35.773000,2021-12-13 23:18:39.398000,183.625,21,93,1,100,2021-12-14 00:15:32.429000,94C0A878,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
61b7d78811d90dd066e8c45d,60c576afaf4b447a213b4341,APPROVED,2021-12-13 23:30:18.889000,2021-12-13 23:32:46.384000,147.495,31,69,0,100,2021-12-14 00:15:32.348000,94C0A878,Sri Lanka,Canada,Full-Time,English,Sri Lanka,Female,Yes
