#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=36619 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:32 out:33 type:b dur:2 cpbdur:2 q:0.00 aq:0.05 tex:106187 mv:1694 misc:3647 imb:12 pmb:2076 smb:1512 d:- ref:0 ;
in:35 out:34 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:143114 mv:1633 misc:3669 imb:42 pmb:2109 smb:1449 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:0.00 aq:0.05 tex:107274 mv:1889 misc:3653 imb:10 pmb:2086 smb:1504 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:0.00 aq:0.64 tex:1207214 mv:3756 misc:870 imb:430 pmb:3049 smb:121 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:231620 mv:1374 misc:2502 imb:13 pmb:2953 smb:634 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:129152 mv:1439 misc:3505 imb:17 pmb:2207 smb:1376 d:- ref:0 ;
in:40 out:39 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:135420 mv:1502 misc:3582 imb:41 pmb:2133 smb:1426 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:0.00 aq:0.06 tex:112110 mv:1573 misc:3581 imb:14 pmb:2084 smb:1502 d:- ref:0 ;
in:42 out:41 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:143156 mv:1605 misc:3599 imb:47 pmb:2152 smb:1401 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:0.00 aq:0.05 tex:111472 mv:1659 misc:3589 imb:9 pmb:2133 smb:1458 d:- ref:0 ;
