,jspsychID,vid_num,agent,causal_rating,outcome,cf,outcome_cf
164,26g5jp57pvqxkau,19,animate,-2.0,out,in,out_in
166,26g5jp57pvqxkau,20,animate,-55.0,out,in,out_in
168,26g5jp57pvqxkau,21,animate,-16.0,out,in,out_in
170,26g5jp57pvqxkau,22,animate,17.0,out,in,out_in
172,26g5jp57pvqxkau,23,animate,-30.0,out,in,out_in
174,26g5jp57pvqxkau,24,animate,-63.0,out,in,out_in
176,2hd8aow1p4mrm10,01,animate,99.0,in,out,in_out
178,2hd8aow1p4mrm10,02,animate,-99.0,in,out,in_out
180,2hd8aow1p4mrm10,03,animate,0.0,in,out,in_out
182,2hd8aow1p4mrm10,04,animate,0.0,in,out,in_out
184,2hd8aow1p4mrm10,05,animate,0.0,in,out,in_out
186,2hd8aow1p4mrm10,06,animate,0.0,in,out,in_out
188,2hd8aow1p4mrm10,09,animate,0.0,in,in,in_in
190,2hd8aow1p4mrm10,10,animate,0.0,in,in,in_in
192,2hd8aow1p4mrm10,11,animate,99.0,in,in,in_in
194,2hd8aow1p4mrm10,12,animate,0.0,in,in,in_in
196,2hd8aow1p4mrm10,13,animate,0.0,out,out,out_out
198,2hd8aow1p4mrm10,14,animate,99.0,out,out,out_out
200,2hd8aow1p4mrm10,15,animate,0.0,out,out,out_out
202,2hd8aow1p4mrm10,16,animate,0.0,out,out,out_out
204,2hd8aow1p4mrm10,17,animate,0.0,out,out,out_out
206,2hd8aow1p4mrm10,18,animate,0.0,out,out,out_out
208,2hd8aow1p4mrm10,19,animate,0.0,out,in,out_in
210,2hd8aow1p4mrm10,20,animate,99.0,out,in,out_in
212,2hd8aow1p4mrm10,21,animate,-99.0,out,in,out_in
214,2hd8aow1p4mrm10,22,animate,0.0,out,in,out_in
216,2hd8aow1p4mrm10,23,animate,99.0,out,in,out_in
218,2hd8aow1p4mrm10,24,animate,99.0,out,in,out_in
220,307xl96xevy258j,01,animate,29.0,in,out,in_out
222,307xl96xevy258j,02,animate,-4.0,in,out,in_out
224,307xl96xevy258j,03,animate,4.0,in,out,in_out
226,307xl96xevy258j,04,animate,6.0,in,out,in_out
228,307xl96xevy258j,05,animate,-7.0,in,out,in_out
230,307xl96xevy258j,06,animate,20.0,in,out,in_out
232,307xl96xevy258j,09,animate,17.0,in,in,in_in
234,307xl96xevy258j,10,animate,19.0,in,in,in_in
236,307xl96xevy258j,11,animate,29.0,in,in,in_in
238,307xl96xevy258j,12,animate,-30.0,in,in,in_in
240,307xl96xevy258j,13,animate,39.0,out,out,out_out
242,307xl96xevy258j,14,animate,29.0,out,out,out_out
244,307xl96xevy258j,15,animate,22.0,out,out,out_out
246,307xl96xevy258j,16,animate,-1.0,out,out,out_out
248,307xl96xevy258j,17,animate,29.0,out,out,out_out
250,307xl96xevy258j,18,animate,-16.0,out,out,out_out
252,307xl96xevy258j,19,animate,-37.0,out,in,out_in
254,307xl96xevy258j,20,animate,14.0,out,in,out_in
256,307xl96xevy258j,21,animate,12.0,out,in,out_in
258,307xl96xevy258j,22,animate,11.0,out,in,out_in
260,307xl96xevy258j,23,animate,76.0,out,in,out_in
262,307xl96xevy258j,24,animate,31.0,out,in,out_in
264,3do436d15tuqsck,01,animate,-47.0,in,out,in_out
266,3do436d15tuqsck,02,animate,0.0,in,out,in_out
268,3do436d15tuqsck,03,animate,70.0,in,out,in_out
270,3do436d15tuqsck,04,animate,27.0,in,out,in_out
272,3do436d15tuqsck,05,animate,0.0,in,out,in_out
274,3do436d15tuqsck,06,animate,0.0,in,out,in_out
276,3do436d15tuqsck,09,animate,-16.0,in,in,in_in
278,3do436d15tuqsck,10,animate,0.0,in,in,in_in
280,3do436d15tuqsck,11,animate,0.0,in,in,in_in
282,3do436d15tuqsck,12,animate,0.0,in,in,in_in
284,3do436d15tuqsck,13,animate,11.0,out,out,out_out
286,3do436d15tuqsck,14,animate,0.0,out,out,out_out
288,3do436d15tuqsck,15,animate,-28.0,out,out,out_out
290,3do436d15tuqsck,16,animate,84.0,out,out,out_out
292,3do436d15tuqsck,17,animate,0.0,out,out,out_out
294,3do436d15tuqsck,18,animate,0.0,out,out,out_out
296,3do436d15tuqsck,19,animate,0.0,out,in,out_in
298,3do436d15tuqsck,20,animate,77.0,out,in,out_in
300,3do436d15tuqsck,21,animate,-99.0,out,in,out_in
302,3do436d15tuqsck,22,animate,99.0,out,in,out_in
304,3do436d15tuqsck,23,animate,33.0,out,in,out_in
306,3do436d15tuqsck,24,animate,99.0,out,in,out_in
308,3jfkzkbbo2j926k,01,animate,-1.0,in,out,in_out
310,3jfkzkbbo2j926k,02,animate,20.0,in,out,in_out
312,3jfkzkbbo2j926k,03,animate,0.0,in,out,in_out
314,3jfkzkbbo2j926k,04,animate,38.0,in,out,in_out
316,3jfkzkbbo2j926k,05,animate,0.0,in,out,in_out
318,3jfkzkbbo2j926k,06,animate,0.0,in,out,in_out
320,3jfkzkbbo2j926k,09,animate,3.0,in,in,in_in
322,3jfkzkbbo2j926k,10,animate,-1.0,in,in,in_in
324,3jfkzkbbo2j926k,11,animate,-27.0,in,in,in_in
326,3jfkzkbbo2j926k,12,animate,-44.0,in,in,in_in
328,3jfkzkbbo2j926k,13,animate,4.0,out,out,out_out
330,3jfkzkbbo2j926k,14,animate,4.0,out,out,out_out
332,3jfkzkbbo2j926k,15,animate,-55.0,out,out,out_out
334,3jfkzkbbo2j926k,16,animate,-15.0,out,out,out_out
336,3jfkzkbbo2j926k,17,animate,0.0,out,out,out_out
338,3jfkzkbbo2j926k,18,animate,0.0,out,out,out_out
340,3jfkzkbbo2j926k,19,animate,-1.0,out,in,out_in
342,3jfkzkbbo2j926k,20,animate,33.0,out,in,out_in
344,3jfkzkbbo2j926k,21,animate,-5.0,out,in,out_in
346,3jfkzkbbo2j926k,22,animate,-34.0,out,in,out_in
348,3jfkzkbbo2j926k,23,animate,-4.0,out,in,out_in
350,3jfkzkbbo2j926k,24,animate,12.0,out,in,out_in
352,3ns2f1ydq9jz88s,01,animate,-76.0,in,out,in_out
354,3ns2f1ydq9jz88s,02,animate,89.0,in,out,in_out
356,3ns2f1ydq9jz88s,03,animate,0.0,in,out,in_out
358,3ns2f1ydq9jz88s,04,animate,10.0,in,out,in_out
360,3ns2f1ydq9jz88s,05,animate,2.0,in,out,in_out
362,3ns2f1ydq9jz88s,06,animate,0.0,in,out,in_out
364,3ns2f1ydq9jz88s,09,animate,0.0,in,in,in_in
366,3ns2f1ydq9jz88s,10,animate,-99.0,in,in,in_in
368,3ns2f1ydq9jz88s,11,animate,29.0,in,in,in_in
370,3ns2f1ydq9jz88s,12,animate,12.0,in,in,in_in
372,3ns2f1ydq9jz88s,13,animate,5.0,out,out,out_out
374,3ns2f1ydq9jz88s,14,animate,0.0,out,out,out_out
376,3ns2f1ydq9jz88s,15,animate,0.0,out,out,out_out
378,3ns2f1ydq9jz88s,16,animate,0.0,out,out,out_out
380,3ns2f1ydq9jz88s,17,animate,0.0,out,out,out_out
382,3ns2f1ydq9jz88s,18,animate,0.0,out,out,out_out
384,3ns2f1ydq9jz88s,19,animate,8.0,out,in,out_in
386,3ns2f1ydq9jz88s,20,animate,0.0,out,in,out_in
388,3ns2f1ydq9jz88s,21,animate,-91.0,out,in,out_in
390,3ns2f1ydq9jz88s,22,animate,99.0,out,in,out_in
392,3ns2f1ydq9jz88s,23,animate,-62.0,out,in,out_in
394,3ns2f1ydq9jz88s,24,animate,96.0,out,in,out_in
396,4795nhx00rws66a,01,animate,0.0,in,out,in_out
398,4795nhx00rws66a,02,animate,-99.0,in,out,in_out
400,4795nhx00rws66a,03,animate,99.0,in,out,in_out
402,4795nhx00rws66a,04,animate,0.0,in,out,in_out
404,4795nhx00rws66a,05,animate,0.0,in,out,in_out
406,4795nhx00rws66a,06,animate,0.0,in,out,in_out
408,4795nhx00rws66a,09,animate,0.0,in,in,in_in
410,4795nhx00rws66a,10,animate,0.0,in,in,in_in
412,4795nhx00rws66a,11,animate,99.0,in,in,in_in
414,4795nhx00rws66a,12,animate,0.0,in,in,in_in
416,4795nhx00rws66a,13,animate,0.0,out,out,out_out
418,4795nhx00rws66a,14,animate,0.0,out,out,out_out
420,4795nhx00rws66a,15,animate,0.0,out,out,out_out
422,4795nhx00rws66a,16,animate,0.0,out,out,out_out
424,4795nhx00rws66a,17,animate,0.0,out,out,out_out
426,4795nhx00rws66a,18,animate,0.0,out,out,out_out
428,4795nhx00rws66a,19,animate,0.0,out,in,out_in
430,4795nhx00rws66a,20,animate,99.0,out,in,out_in
432,4795nhx00rws66a,21,animate,0.0,out,in,out_in
434,4795nhx00rws66a,22,animate,0.0,out,in,out_in
436,4795nhx00rws66a,23,animate,0.0,out,in,out_in
438,4795nhx00rws66a,24,animate,0.0,out,in,out_in
440,47g2ydexnu5nff8,01,animate,18.0,in,out,in_out
442,47g2ydexnu5nff8,02,animate,0.0,in,out,in_out
444,47g2ydexnu5nff8,03,animate,2.0,in,out,in_out
446,47g2ydexnu5nff8,04,animate,0.0,in,out,in_out
448,47g2ydexnu5nff8,05,animate,0.0,in,out,in_out
450,47g2ydexnu5nff8,06,animate,0.0,in,out,in_out
452,47g2ydexnu5nff8,09,animate,10.0,in,in,in_in
454,47g2ydexnu5nff8,10,animate,20.0,in,in,in_in
456,47g2ydexnu5nff8,11,animate,-1.0,in,in,in_in
458,47g2ydexnu5nff8,12,animate,39.0,in,in,in_in
460,47g2ydexnu5nff8,13,animate,-35.0,out,out,out_out
462,47g2ydexnu5nff8,14,animate,39.0,out,out,out_out
464,47g2ydexnu5nff8,15,animate,0.0,out,out,out_out
466,47g2ydexnu5nff8,16,animate,0.0,out,out,out_out
468,47g2ydexnu5nff8,17,animate,0.0,out,out,out_out
470,47g2ydexnu5nff8,18,animate,0.0,out,out,out_out
472,47g2ydexnu5nff8,19,animate,54.0,out,in,out_in
474,47g2ydexnu5nff8,20,animate,38.0,out,in,out_in
476,47g2ydexnu5nff8,21,animate,2.0,out,in,out_in
478,47g2ydexnu5nff8,22,animate,-14.0,out,in,out_in
480,47g2ydexnu5nff8,23,animate,5.0,out,in,out_in
482,47g2ydexnu5nff8,24,animate,24.0,out,in,out_in
484,5gxl4ogfaqjuo8a,01,animate,0.0,in,out,in_out
486,5gxl4ogfaqjuo8a,02,animate,0.0,in,out,in_out
488,5gxl4ogfaqjuo8a,03,animate,0.0,in,out,in_out
490,5gxl4ogfaqjuo8a,04,animate,0.0,in,out,in_out
492,5gxl4ogfaqjuo8a,05,animate,0.0,in,out,in_out
494,5gxl4ogfaqjuo8a,06,animate,0.0,in,out,in_out
496,5gxl4ogfaqjuo8a,09,animate,0.0,in,in,in_in
498,5gxl4ogfaqjuo8a,10,animate,-99.0,in,in,in_in
500,5gxl4ogfaqjuo8a,11,animate,-99.0,in,in,in_in
502,5gxl4ogfaqjuo8a,12,animate,0.0,in,in,in_in
504,5gxl4ogfaqjuo8a,13,animate,0.0,out,out,out_out
506,5gxl4ogfaqjuo8a,14,animate,0.0,out,out,out_out
508,5gxl4ogfaqjuo8a,15,animate,99.0,out,out,out_out
510,5gxl4ogfaqjuo8a,16,animate,99.0,out,out,out_out
512,5gxl4ogfaqjuo8a,17,animate,0.0,out,out,out_out
514,5gxl4ogfaqjuo8a,18,animate,0.0,out,out,out_out
516,5gxl4ogfaqjuo8a,19,animate,0.0,out,in,out_in
518,5gxl4ogfaqjuo8a,20,animate,0.0,out,in,out_in
520,5gxl4ogfaqjuo8a,21,animate,0.0,out,in,out_in
522,5gxl4ogfaqjuo8a,22,animate,0.0,out,in,out_in
524,5gxl4ogfaqjuo8a,23,animate,0.0,out,in,out_in
526,5gxl4ogfaqjuo8a,24,animate,0.0,out,in,out_in
528,5jbn5lcuc87a3mw,01,animate,-19.0,in,out,in_out
